"","Most recent year:","#1 Ranked","#1 Ranked","#1 Ranked","#2 Ranked","#2 Ranked","#2 Ranked","#3 Ranked","#3 Ranked","#3 Ranked","#4 Ranked","#4 Ranked","#4 Ranked","#5 Ranked","#5 Ranked","#5 Ranked","#6 Ranked","#6 Ranked","#6 Ranked","#7 Ranked","#7 Ranked","#7 Ranked","#8 Ranked","#8 Ranked","#8 Ranked","#9 Ranked","#9 Ranked","#9 Ranked","#10 Ranked","#10 Ranked","#10 Ranked","Remaining native tree species","Remaining native tree species","Remaining native tree species","TOTAL native tree species","TOTAL native tree species","TOTAL native tree species","#1 Ranked","#1 Ranked","#1 Ranked","#2 Ranked","#2 Ranked","#2 Ranked","#3 Ranked","#3 Ranked","#3 Ranked","#4 Ranked","#4 Ranked","#4 Ranked","#5 Ranked","#5 Ranked","#5 Ranked","Remaining introduced tree species","Remaining introduced tree species","Remaining introduced tree species","TOTAL introduced tree species","TOTAL introduced tree species","TOTAL introduced tree species","Total growing stock","Total growing stock","Total growing stock"
"","Most recent year:","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest"
"Cook Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Côte d'Ivoire","2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hévéa","90.40","100.00","","","","","","","","","","","","","","","","","90.4","100.00","","90.4",""
"Croatia","2022","Common beech","160.48","37.04","Pedunculate oak","49.86","11.51","Sessile oak","39.87","9.20","Common hornbeam","36.95","8.53","European silver fir","33.43","7.72","Narrow-leafed ash","11.74","2.71","Norway spruce","9.57","2.21","Turkey oak","8.80","2.03","Black alder","7.45","1.72","Black pine","5.94","1.37","","56.74","13.10","","420.83","97.12","Black locust","8.30","1.92","Euroamerican poplar","1.74","0.40","Eastern white pine (Weymouth pine)","0.86","0.20","European larch","0.63","0.15","Eastern American black walnut","0.33","0.08","","0.60","0.14","","12.46","2.88","","433.29",""
"Cuba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Curaçao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","2022","Calabrian pine","10.33","83.04","","1.88","15.11","","0.20","1.61","","","","","","","","","","","","","","","","","","","","","","","","","","12.41","99.76","","0.03","0.24","","","","","","","","","","","","","","","","","0.03","0.24","","12.44",""
"Czechia","2020","Norway spruce","477.60","49.50","Scots pine","126.06","13.06","European beach","88.62","9.18","Oaks","74.10","7.68","European larch","46.69","4.84","Alders","21.98","2.28","Maples","20.06","2.08","Birches","18.90","1.96","Fir","14.96","1.55","Ash","14.42","1.49","","53.67","5.56","","957.06","99.19","","","","","","","","","","","","","","","","","7.81","0.81","","7.81","0.81","","964.87",""
"Democratic People's Republic of Korea","","Oak","","","Pinus","","","Larch","","","Korean pine","","","White Birch","","","Acacia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Democratic Republic of the Congo","2021","Limbali","","","Acajou","","","Essoula","","","Muhimbi","","","Essia","","","Divida","","","Rikkio","","","Otunga","","","Ebom","","","","","","","","","","","","Teck","","","Acacia","","","Acacia","","","Eucalyptus","","","Kasia","","","","","","","","","","",""
