Country,Code,Forest_1990,Forest_2025,Forest_change,GDP_avg,Region,Income_group,log_GDP,Income_group_order,Outlier_type
Bahamas,BHS,50.94,50.94,0.0,25364.75104199548,Latin America & Caribbean,High income,10.141115734931747,4,Expected pattern
Bahrain,BHR,1.73,5.53,3.8,19405.71003733748,Middle East & North Africa,High income,9.873322633565826,4,Expected pattern
Barbados,BRB,14.65,14.65,0.0,15793.474448481538,Latin America & Caribbean,High income,9.66735212411333,4,Expected pattern
Belgium,BEL,22.21,21.99,-0.2200000000000024,37312.708184126284,Europe & Central Asia,High income,10.527089249593464,4,Expected pattern
Bermuda,BMU,14.44,14.44,0.0,82137.9008174466,North America,High income,11.316154831029209,4,Expected pattern
Brunei,BRN,78.37,72.11,-6.260000000000005,29356.312431852235,East Asia & Pacific,High income,10.28726287647016,4,Rich & Deforesting
Bulgaria,BGR,30.65,36.47,5.82,5959.728481704972,Europe & Central Asia,High income,8.692780202260744,4,Expected pattern
Canada,CAN,41.05,41.97,0.9200000000000016,36996.58824321332,North America,High income,10.518580977731908,4,Expected pattern
Cayman Islands,CYM,54.71,53.0,-1.7100000000000009,82972.18096995173,Latin America & Caribbean,High income,11.326260661560314,4,Expected pattern
Chile,CHL,22.61,24.43,1.8200000000000005,9679.102452706778,Latin America & Caribbean,High income,9.177724454143876,4,Expected pattern
Croatia,HRV,33.06,34.78,1.7199999999999989,10914.440966696484,Europe & Central Asia,High income,9.29784205069545,4,Expected pattern
Cyprus,CYP,17.44,18.58,1.139999999999997,23332.101646205356,Europe & Central Asia,High income,10.057585444378926,4,Expected pattern
Czechia,CZE,36.79,38.46,1.6700000000000017,15242.391369532967,Europe & Central Asia,High income,9.63183573094227,4,Expected pattern
Denmark,DNK,13.29,16.06,2.77,48611.14523447357,Europe & Central Asia,High income,10.791608109409655,4,Expected pattern
Estonia,EST,51.62,57.26,5.640000000000001,14474.139315187216,Europe & Central Asia,High income,9.580118840582681,4,Expected pattern
Faroe Islands,FRO,0.06,0.06,0.0,42245.63525034731,Europe & Central Asia,High income,10.651256319764626,4,Expected pattern
Finland,FIN,71.97,74.17,2.200000000000003,38663.308909198226,Europe & Central Asia,High income,10.562646339094488,4,Expected pattern
France,FRA,26.36,32.5,6.140000000000001,33284.411642830324,Europe & Central Asia,High income,10.412844447532784,4,Expected pattern
French Polynesia,PYF,41.61,43.06,1.4500000000000028,19916.51721935261,East Asia & Pacific,High income,9.899304677466663,4,Expected pattern
Germany,DEU,32.34,32.86,0.519999999999996,37995.62363081975,Europe & Central Asia,High income,10.545226264466217,4,Expected pattern
Greece,GRC,28.77,36.95,8.180000000000003,18507.71220788974,Europe & Central Asia,High income,9.825942800299863,4,Expected pattern
Greenland,GRL,0.0,0.0,0.0,35956.47140514761,Europe & Central Asia,High income,10.490064358218861,4,Expected pattern
Guam,GUM,44.44,52.35,7.910000000000004,31427.982330473384,East Asia & Pacific,High income,10.355453932073122,4,Expected pattern
Guyana,GUY,94.5,93.36,-1.1400000000000006,4831.53513567827,Latin America & Caribbean,High income,8.482919529622022,4,Expected pattern
Hungary,HUN,19.88,22.87,2.990000000000002,10988.321468293561,Europe & Central Asia,High income,9.304588303093501,4,Expected pattern
Iceland,ISL,0.18,0.61,0.43,48606.48025109835,Europe & Central Asia,High income,10.791512139499764,4,Expected pattern
Ireland,IRL,6.7,12.09,5.39,50934.20066999654,Europe & Central Asia,High income,10.838289895762646,4,Expected pattern
Isle of Man,IMN,6.37,6.44,0.0700000000000002,49641.98746789473,Europe & Central Asia,High income,10.812592276145882,4,Expected pattern
Italy,ITA,25.67,31.86,6.189999999999998,29905.562869719233,Europe & Central Asia,High income,10.305799791228269,4,Expected pattern
Japan,JPN,68.45,68.33,-0.1200000000000045,34431.381025102695,East Asia & Pacific,High income,10.446723666626099,4,Expected pattern
Kuwait,KWT,0.19,0.35,0.1599999999999999,29030.260170458478,Middle East & North Africa,High income,10.276094019102473,4,Expected pattern
Latvia,LVA,50.99,55.71,4.719999999999999,11354.424856133848,Europe & Central Asia,High income,9.337362802101747,4,Expected pattern
Liechtenstein,LIE,32.5,37.38,4.880000000000003,121047.82323205454,Europe & Central Asia,High income,11.703940979817526,4,Expected pattern
Lithuania,LTU,31.07,35.4,4.329999999999998,12564.93997494961,Europe & Central Asia,High income,9.438665672803497,4,Expected pattern
Luxembourg,LUX,33.33,34.45,1.1200000000000043,86444.68495942505,Europe & Central Asia,High income,11.367260008127412,4,Expected pattern
Malta,MLT,1.09,1.47,0.3799999999999999,20140.250807348933,Middle East & North Africa,High income,9.910475619390095,4,Expected pattern
Monaco,MCO,0.0,0.0,0.0,147579.45778102003,Europe & Central Asia,High income,11.902122006537441,4,Expected pattern
Nauru,NRU,0.0,0.0,0.0,6362.112109652163,East Asia & Pacific,High income,8.758115693916192,4,Expected pattern
Netherlands,NLD,10.26,10.97,0.7100000000000009,42345.64734653008,Europe & Central Asia,High income,10.653620916676092,4,Expected pattern
New Caledonia,NCL,45.47,48.83,3.3599999999999994,26324.314276707977,East Asia & Pacific,High income,10.178248288294744,4,Expected pattern
New Zealand,NZL,35.59,39.13,3.539999999999999,29572.781344111845,East Asia & Pacific,High income,10.294609668082028,4,Expected pattern
Northern Mariana Islands,MNP,44.17,52.96,8.79,18842.01161701951,East Asia & Pacific,High income,9.843844316157595,4,Expected pattern
Norway,NOR,33.54,33.24,-0.2999999999999971,65035.73704743413,Europe & Central Asia,High income,11.082692198522484,4,Expected pattern
Oman,OMN,0.01,0.01,0.0,15350.12850479662,Middle East & North Africa,High income,9.63887912462829,4,Expected pattern
Palau,PLW,82.93,91.02,8.08999999999999,10600.60432662726,East Asia & Pacific,High income,9.268666290421008,4,Expected pattern
Panama,PAN,66.81,62.21,-4.600000000000001,8642.008986696623,Latin America & Caribbean,High income,9.064390356377547,4,Expected pattern
Poland,POL,29.02,31.02,2.0,10080.325450916314,Europe & Central Asia,High income,9.218340827901406,4,Expected pattern
Portugal,PRT,37.54,36.71,-0.8299999999999983,18092.67230356933,Europe & Central Asia,High income,9.803262290175345,4,Expected pattern
Puerto Rico,PRI,34.25,49.16,14.909999999999997,22665.103199446687,Latin America & Caribbean,High income,10.028581716616147,4,Expected pattern
Qatar,QAT,0.12,0.12,0.0,52461.09703846829,Middle East & North Africa,High income,10.867827165105917,4,Expected pattern
Romania,ROU,27.69,30.24,2.549999999999997,7054.226815928309,Europe & Central Asia,High income,8.861382264507627,4,Expected pattern
Russia,RUS,49.56,50.84,1.2800000000000011,7731.394419642857,Europe & Central Asia,High income,8.95304451595247,4,Expected pattern
San Marino,SMR,16.67,16.67,0.0,51211.719495147045,Europe & Central Asia,High income,10.843723681224407,4,Expected pattern
Saudi Arabia,SAU,1.29,1.29,0.0,19660.58272522671,Middle East & North Africa,High income,9.886371033405677,4,Expected pattern
Seychelles,SYC,74.2,57.65,-16.550000000000004,11649.644323688832,Sub-Saharan Africa,High income,9.363030928372327,4,Expected pattern
Singapore,SGP,20.65,22.01,1.360000000000003,42583.48328915204,East Asia & Pacific,High income,10.659221740859008,4,Expected pattern
Sint Maarten (Dutch part),SXM,8.82,8.82,0.0,33181.23086598076,Latin America & Caribbean,High income,10.409739659680266,4,Expected pattern
Slovakia,SVK,39.57,40.36,0.7899999999999991,12809.269867413035,Europe & Central Asia,High income,9.457924396186996,4,Expected pattern
Slovenia,SVN,59.0,61.76,2.759999999999998,18757.6027579995,Europe & Central Asia,High income,9.839354429640224,4,Expected pattern
South Korea,KOR,67.12,64.34,-2.780000000000001,20602.186751576377,East Asia & Pacific,High income,9.933152502132987,4,Rich & Deforesting
Spain,ESP,27.83,38.29,10.46,24184.065510137232,Europe & Central Asia,High income,10.093449245277046,4,Expected pattern
Sweden,SWE,68.9,68.59,-0.3100000000000023,44188.043627968786,Europe & Central Asia,High income,10.696209525317848,4,Expected pattern
Switzerland,CHE,29.2,32.07,2.870000000000001,65779.39484576517,Europe & Central Asia,High income,11.094061920031608,4,Expected pattern
Trinidad and Tobago,TTO,46.96,44.06,-2.8999999999999986,12562.440889946065,Latin America & Caribbean,High income,9.438466759512437,4,Expected pattern
Turks and Caicos Islands,TCA,11.07,11.07,0.0,27100.250203563803,Latin America & Caribbean,High income,10.207298239429003,4,Expected pattern
United Arab Emirates,ARE,4.43,4.57,0.1400000000000005,38315.65854496015,Middle East & North Africa,High income,10.553613930910723,4,Expected pattern
United Kingdom,GBR,11.48,13.55,2.0700000000000003,36700.15879625829,Europe & Central Asia,High income,10.510536360906825,4,Expected pattern
United States,USA,33.06,33.77,0.7100000000000009,44225.23302577989,North America,High income,10.697050788110314,4,Expected pattern
Uruguay,URY,5.02,11.56,6.540000000000001,11204.938408060514,Latin America & Caribbean,High income,9.324109889393549,4,Expected pattern
