country,code,forest_1990,forest_2025,forest_change,mean_gdp,region,income_group,log_gdp,peer_residual,outlier_category
Sierra Leone,SLE,43.32,33.75,-9.57,561.6440036032269,Sub-Saharan Africa,Low income,6.330868203636437,-5.190000000000001,expected_negative
Singapore,SGP,20.65,22.01,1.360000000000003,42583.48328915204,East Asia & Pacific,High income,10.659221740859008,0.1500000000000039,expected_positive
Sint Maarten (Dutch part),SXM,8.82,8.82,0.0,33181.23086598076,Latin America & Caribbean,High income,10.409739659680266,-1.209999999999999,expected_positive
Slovenia,SVN,59.0,61.76,2.759999999999998,18757.6027579995,Europe & Central Asia,High income,9.839354429640224,1.549999999999999,expected_positive
Solomon Islands,SLB,90.74,89.82,-0.9200000000000016,1484.6573184589793,East Asia & Pacific,Lower middle income,7.302939262626672,1.9099999999999966,expected_negative
Somalia,SOM,13.2,7.7,-5.499999999999999,366.407161967126,Sub-Saharan Africa,Low income,5.903745179462447,-1.12,expected_negative
South Africa,ZAF,16.34,18.86,2.52,5299.283175631321,Sub-Saharan Africa,Upper middle income,8.57532684051224,2.52,expected_positive
South Sudan,SSD,11.24,11.33,0.0899999999999998,1375.87731816094,Sub-Saharan Africa,Low income,7.22684685620518,4.469999999999999,expected_positive
Spain,ESP,27.83,38.29,10.46,24184.065510137232,Europe & Central Asia,High income,10.093449245277046,9.250000000000002,expected_positive
Sri Lanka,LKA,38.31,34.28,-4.030000000000001,2205.5380294002102,South Asia,Lower middle income,7.698726762379882,-1.2000000000000028,expected_negative
Sudan,SDN,15.03,11.77,-3.26,840.0392355782647,Sub-Saharan Africa,Low income,6.733448599768271,1.1199999999999992,expected_negative
Suriname,SUR,92.62,91.42,-1.2000000000000028,4556.18863989998,Latin America & Caribbean,Upper middle income,8.424241728428969,-1.2000000000000028,expected_negative
Sweden,SWE,68.9,68.59,-0.3100000000000023,44188.04362796879,Europe & Central Asia,High income,10.696209525317848,-1.5200000000000014,expected_negative
Switzerland,CHE,29.2,32.07,2.870000000000001,65779.39484576517,Europe & Central Asia,High income,11.094061920031608,1.660000000000002,expected_positive
Tajikistan,TJK,2.94,3.06,0.1200000000000001,589.0816072613007,Europe & Central Asia,Lower middle income,6.37856472628043,2.9499999999999984,expected_positive
Tanzania,TZA,65.66,49.0,-16.659999999999997,660.1296125139512,Sub-Saharan Africa,Lower middle income,6.492436198336829,-13.829999999999998,expected_negative
Thailand,THA,39.61,38.46,-1.1499999999999986,4225.611671675962,East Asia & Pacific,Upper middle income,8.348919303673652,-1.1499999999999986,expected_negative
Togo,TGO,23.87,22.51,-1.3599999999999994,658.2189797213525,Sub-Saharan Africa,Low income,6.489537671890142,3.0199999999999996,expected_negative
Tonga,TON,12.12,12.12,0.0,3054.657283381219,East Asia & Pacific,Upper middle income,8.024422683113528,0.0,expected_positive
Trinidad and Tobago,TTO,46.96,44.06,-2.8999999999999986,12562.440889946063,Latin America & Caribbean,High income,9.438466759512435,-4.109999999999998,expected_negative
Tunisia,TUN,4.15,4.43,0.2799999999999993,3142.092089357306,Middle East & North Africa,Lower middle income,8.05264412753861,3.1099999999999977,expected_positive
Turkmenistan,TKM,4.96,4.96,0.0,3258.755871266332,Europe & Central Asia,Upper middle income,8.089100766938865,0.0,expected_positive
Turks and Caicos Islands,TCA,11.07,11.07,0.0,27100.250203563803,Latin America & Caribbean,High income,10.207298239429004,-1.209999999999999,expected_positive
Tuvalu,TUV,34.33,34.33,0.0,2844.9694176788566,East Asia & Pacific,Upper middle income,7.95330759700489,0.0,expected_positive
Uganda,UGA,22.68,11.81,-10.87,540.2719126227385,Sub-Saharan Africa,Low income,6.292072554717603,-6.49,expected_negative
Ukraine,UKR,16.01,17.41,1.3999999999999986,2412.0237234933043,Europe & Central Asia,Upper middle income,7.788221393409529,1.3999999999999986,expected_positive
United Arab Emirates,ARE,4.43,4.57,0.1400000000000005,38315.65854496015,Middle East & North Africa,High income,10.553613930910725,-1.0699999999999985,expected_positive
United Kingdom,GBR,11.48,13.55,2.0700000000000003,36700.15879625829,Europe & Central Asia,High income,10.510536360906825,0.8600000000000012,expected_positive
United States,USA,33.06,33.77,0.7100000000000009,47077.17050204633,North America,High income,10.759543459781536,-0.4999999999999982,expected_positive
Uruguay,URY,5.02,11.56,6.540000000000001,11204.938408060514,Latin America & Caribbean,High income,9.324109889393547,5.330000000000002,expected_positive
Uzbekistan,UZB,5.79,8.84,3.05,1385.4404740240027,Europe & Central Asia,Lower middle income,7.233773399846334,5.879999999999998,expected_positive
Vanuatu,VUT,81.29,74.44,-6.8500000000000085,2275.5558349593134,East Asia & Pacific,Lower middle income,7.729979624602071,-4.02000000000001,expected_negative
Vietnam,VNM,29.91,47.19,17.279999999999998,1593.682662959924,East Asia & Pacific,Lower middle income,7.373802757322339,20.109999999999996,poor_reforester
Zambia,ZMB,63.78,60.36,-3.4200000000000017,934.587588219062,Sub-Saharan Africa,Lower middle income,6.840105349864705,-0.5900000000000034,expected_negative
Zimbabwe,ZWE,43.21,35.58,-7.630000000000003,1153.0358118115823,Sub-Saharan Africa,Lower middle income,7.050153579467188,-4.800000000000004,expected_negative
Bahamas,BHS,50.94,50.94,0.0,25364.75104199548,Latin America & Caribbean,High income,10.141115734931748,-1.209999999999999,expected_positive
Brunei,BRN,78.37,72.11,-6.260000000000005,29356.312431852235,East Asia & Pacific,High income,10.28726287647016,-7.470000000000004,rich_deforester
Cape Verde,CPV,8.31,12.67,4.359999999999999,2685.196260730336,Sub-Saharan Africa,Lower middle income,7.895509099515711,7.189999999999998,poor_reforester
Congo,COG,65.17,63.99,-1.1799999999999995,1907.696732255292,Sub-Saharan Africa,Lower middle income,7.553651894016218,1.6499999999999988,expected_negative
Democratic Republic of Congo,COD,70.81,61.4,-9.410000000000004,335.08061334651467,Sub-Saharan Africa,Low income,5.81437113973193,-5.030000000000005,expected_negative
East Timor,TLS,74.01,70.9,-3.1099999999999994,845.2255676472947,East Asia & Pacific,Lower middle income,6.739603535695269,-0.28000000000000114,expected_negative
Egypt,EGY,0.0,0.0,0.0,1998.2499212828773,Middle East & North Africa,Lower middle income,7.600027037113097,,geographic_excluded
Gambia,GMB,40.98,20.7,-20.28,645.3239110736133,Sub-Saharan Africa,Low income,6.469752378452752,-15.900000000000002,expected_negative
Iran,IRN,6.63,6.63,0.0,3779.252891584264,Middle East & North Africa,Upper middle income,8.237281621349716,0.0,expected_positive
Kyrgyzstan,KGZ,5.93,6.55,0.6200000000000001,864.572511628471,Europe & Central Asia,Lower middle income,6.76223517856188,3.4499999999999984,expected_positive
Laos,LAO,62.39,56.48,-5.910000000000004,1123.7687044856186,East Asia & Pacific,Lower middle income,7.024443230350863,-3.0800000000000054,expected_negative
Russia,RUS,49.56,50.84,1.2800000000000011,7731.394419642857,Europe & Central Asia,High income,8.95304451595247,0.07000000000000206,expected_positive
Slovakia,SVK,39.57,40.36,0.7899999999999991,12809.269867413035,Europe & Central Asia,High income,9.457924396186996,-0.41999999999999993,expected_positive
