country,code,forest_1990,forest_2025,forest_change,mean_gdp,region,income_group
Egypt,EGY,0.0,0.0,0.0,1998.2499212828773,Middle East & North Africa,Lower middle income
Gambia,GMB,40.98,20.7,-20.28,645.3239110736133,Sub-Saharan Africa,Low income
Iran,IRN,6.63,6.63,0.0,3779.2528915842636,Middle East & North Africa,Upper middle income
Kyrgyzstan,KGZ,5.93,6.55,0.6200000000000001,864.572511628471,Europe & Central Asia,Lower middle income
Laos,LAO,62.39,56.48,-5.910000000000004,1123.7687044856186,East Asia & Pacific,Lower middle income
Micronesia (country),,90.83,92.24,1.4099999999999966,,,
North Korea,PRK,61.92,64.18,2.260000000000005,,East Asia & Pacific,Low income
Russia,RUS,49.56,50.84,1.2800000000000011,7731.394419642857,Europe & Central Asia,High income
Saint Kitts and Nevis,,42.31,42.31,0.0,,,
Saint Lucia,,44.36,53.84,9.480000000000004,,,
Saint Martin (French part),,24.8,24.8,0.0,,,
Saint Vincent and the Grenadines,,73.13,73.23,0.1000000000000085,,,
Sao Tome and Principe,,61.53,57.58,-3.950000000000003,,,
Slovakia,SVK,39.57,40.36,0.7899999999999991,12809.269867413035,Europe & Central Asia,High income
South Korea,KOR,67.12,64.34,-2.780000000000001,21725.38072235309,East Asia & Pacific,High income
Syria,SYR,2.44,2.85,0.4100000000000001,1269.9246549776192,Middle East & North Africa,Low income
Turkey,TUR,25.71,29.63,3.919999999999998,7708.054792175356,Europe & Central Asia,Upper middle income
United States Virgin Islands,,58.31,59.03,0.7199999999999989,,,
Venezuela,VEN,57.23,53.39,-3.839999999999996,5166.5139217085525,Latin America & Caribbean,Upper middle income
Western Sahara,,2.23,1.95,-0.28,,,
Yemen,YEM,1.04,1.04,0.0,891.2537980730376,Middle East & North Africa,Low income
