,1990,2000,2010,2015,2020,2025
Panama,66.66720473500133,64.44417541027711,62.908662900188325,62.66527253103076,62.411431652736596,62.208277163655964
Papua New Guinea,76.43501302830897,75.95111071854437,75.46712008126131,75.41626551252043,75.18374332023141,75.14233979596344
Paraguay,64.63548955449284,55.14651396929272,45.65756355398943,41.202290460609106,38.04666498867355,36.10342615880327
Peru,60.185851562500005,57.84728125,55.50871093749999,54.339421875000006,53.637851562499996,52.46856249999999
Philippines,26.088506556662306,24.51373377603381,22.93899453331992,23.52399637790522,24.235805077640276,24.947647315289938
Pitcairn,78.51063829787233,78.51063829787233,78.51063829787233,78.51063829787233,78.51063829787233,78.51063829787233
Poland,28.998661399327435,29.576545104312906,30.4590570719603,30.76521114340769,30.915624081272664,31.002057008521895
Portugal,37.57836065573771,36.596393442622954,35.50474942679332,36.153139109399426,36.39941226300575,36.70769035954134
Puerto Rico,34.25366403607666,48.38218714768884,55.405862457722655,55.03720405862458,53.35287485907554,56.687711386696726
Qatar,0.12058570198105081,0.12058570198105081,0.12058570198105081,0.1218450826805918,0.1218450826805918,0.1218450826805918
Republic of Korea,67.91416131038773,67.13663694795771,65.70987654320987,65.03155626250705,64.52868852459017,64.33534836065574
Republic of Moldova,9.899604502585944,10.474452554744525,11.400304414003044,11.751824817518248,11.34877723919403,11.24506529000911
Réunion,27.18,28.388,29.596,30.29880478087649,30.70517928286852,30.73705179282869
Romania,27.778504469151947,27.713203604544862,28.3199304499022,29.993741307371348,30.115829276773297,30.237873783031986
Russian Federation,49.520669068545054,49.59578215213163,50.16232833258126,50.2663921738403,50.58550260214558,50.841823254382554
Rwanda,17.707742197000407,16.58816376165383,16.872314552087555,19.82286177543575,22.773814349412245,25.72476692338873
Saint Barthélemy,8.5,8.5,8.5,8.5,8.5,8.5
