"","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)"
"","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025"
"Mayotte","19.25","14.79","10.41","10.05","9.77","9.60","37.40","37.40","37.40","37.40","37.40","36.63"
"Mexico","71803.93","69593.66","68155.65","67543.26","66904.42","66265.59","194395.00","194395.00","194395.00","194395.00","194395.00","194395.00"
"Micronesia (Federated States of)","63.58","63.86","64.13","64.27","64.42","64.57","70.00","70.00","70.00","70.00","70.00","70.00"
"Monaco","0.00","0.00","0.00","0.00","0.00","0.00","0.20","0.20","0.20","0.20","0.20","0.21"
"Mongolia","14352.00","14263.90","14183.90","14178.33","14178.33","14178.33","154743.87","154743.87","155729.24","155725.54","155750.68","155849.98"
"Montenegro","626.00","626.00","827.00","827.00","827.00","827.00","1345.00","1345.00","1345.00","1345.00","1345.00","1345.00"
"Montserrat","3.50","2.42","2.42","2.42","2.42","2.42","10.00","10.00","10.00","10.00","10.00","10.00"
"Morocco","5700.99","5698.67","5695.70","5689.90","5693.77","5695.34","44630.00","44630.00","44630.00","44630.00","44630.00","44630.00"
"Mozambique","41588.91","38918.62","36248.33","34913.19","33578.04","32242.90","78638.00","78638.00","78638.00","78638.00","78638.00","78638.00"
"Myanmar","39218.48","34868.11","31441.00","29992.44","28543.88","27095.32","65354.00","65354.00","65326.00","65308.00","65267.00","65267.00"
"Namibia","8769.17","8059.08","8052.63","8049.41","8046.18","8042.96","82329.00","82329.00","82329.00","82329.00","82329.00","82329.00"
"Nauru","0.00","0.00","0.00","0.00","0.00","0.00","2.00","2.00","2.00","2.00","2.00","2.00"
"Nepal","5748.11","5915.52","6082.93","6100.45","6183.35","6266.25","14300.00","14335.00","14335.00","14335.00","14335.00","14335.00"
"Netherlands (Kingdom of the)","345.33","359.50","373.48","364.83","367.08","369.33","3376.00","3376.00","3373.00","3367.00","3367.00","3367.00"
"New Caledonia","831.13","837.85","839.02","892.61","892.61","892.61","1828.00","1828.00","1828.00","1828.00","1828.00","1828.00"
"New Zealand","9372.27","9850.44","9848.12","9846.61","9965.29","10303.03","26331.00","26331.00","26331.00","26331.00","26331.00","26331.00"
"Nicaragua","7098.90","6105.70","5112.50","5001.90","4891.33","4780.70","12034.00","12034.00","12034.00","12034.00","12034.00","12034.00"
"Niger","1945.00","1328.10","1203.90","1141.80","1079.70","1055.10","126670.00","126670.00","126670.00","126670.00","126670.00","126670.00"
"Nigeria","21570.86","20302.03","19033.20","18398.78","17764.37","17129.96","91077.00","91077.00","91077.00","91077.00","91077.00","91077.00"
"Niue","18.93","18.83","18.77","18.82","18.87","18.87","26.00","26.00","26.00","26.00","26.00","26.00"
"Norfolk Island","0.49","0.49","0.49","0.49","0.49","0.49","4.00","4.00","4.00","4.00","4.00","4.00"
"North Macedonia","912.00","957.55","960.43","994.40","1042.32","1026.10","2543.00","2543.00","2522.00","2522.00","2522.00","2522.00"
"Northern Mariana Islands","20.32","20.32","20.32","24.36","24.36","24.36","46.00","46.00","46.00","46.00","46.00","46.00"
"Norway","12216.87","12198.48","12149.29","12132.98","12120.81","12108.64","30424.60","30424.60","30424.85","30419.30","30407.31","36427.00"
"Oman","1.60","1.60","1.60","1.60","1.60","1.60","30950.00","30950.00","30950.00","30950.00","30950.00","30950.00"
"Pakistan","3461.01","3316.91","3164.83","3036.05","3088.53","3192.46","77088.00","77088.00","77088.00","77088.00","77088.00","77088.00"
"Palau","38.15","39.58","40.56","40.99","41.42","41.87","46.00","46.00","46.00","46.00","46.00","46.00"
"Palestine","9.08","9.08","9.98","10.57","11.10","11.10","602.00","602.00","602.00","602.00","602.00","602.50"
"Panama","4956.04","4790.78","4676.63","4644.75","4629.68","4614.61","7434.00","7434.00","7434.00","7412.00","7418.00","7418.00"
"Papua New Guinea","34614.36","34395.22","34176.04","34153.01","34047.71","34028.96","45286.00","45286.00","45286.00","45286.00","45286.00","45286.00"
"Paraguay","25679.68","21909.71","18139.75","16369.67","15115.94","14297.39","39730.00","39730.00","39730.00","39730.00","39730.00","39601.20"
"Peru","77037.89","74044.52","71051.15","69554.46","68656.45","67159.76","128000.00","128000.00","128000.00","128000.00","128000.00","128000.00"
"Philippines","7778.81","7309.26","6839.72","7014.15","7226.39","7438.64","29817.00","29817.00","29817.00","29817.00","29817.00","29817.00"
"Pitcairn","3.69","3.69","3.69","3.69","3.69","3.69","4.70","4.70","4.70","4.70","4.70","4.70"
"Poland","8882.00","9059.00","9329.00","9420.00","9464.20","9495.00","30629.00","30629.00","30628.00","30619.00","30613.00","30627.00"
"Portugal","3438.42","3348.57","3251.88","3311.83","3334.39","3362.63","9150.00","9150.00","9159.00","9160.56","9160.56","9160.56"
"Puerto Rico","303.83","429.15","491.45","488.18","473.24","502.82","887.00","887.00","887.00","887.00","887.00","887.00"
"Qatar","1.40","1.40","1.40","1.40","1.40","1.40","1161.00","1161.00","1161.00","1149.00","1149.00","1149.00"
"Republic of Korea","6551.00","6476.00","6387.00","6337.00","6298.00","6279.13","9646.00","9646.00","9720.00","9744.50","9760.00","9760.00"
"Republic of Moldova","325.40","344.40","374.50","386.40","373.20","370.30","3287.00","3288.00","3285.00","3288.00","3288.46","3293.00"
"Réunion","67.95","70.97","73.99","76.05","77.07","77.15","250.00","250.00","250.00","251.00","251.00","251.00"
"Romania","6371.00","6366.00","6515.00","6900.96","6929.05","6957.13","22935.00","22971.00","23005.00","23008.00","23008.00","23008.00"
"Russian Federation","811641.29","812445.37","821501.93","823206.17","828432.20","832629.93","1638995.00","1638134.00","1637687.00","1637687.00","1637687.00","1637687.00"
"Rwanda","436.85","409.23","416.24","489.03","561.83","634.63","2467.00","2467.00","2467.00","2467.00","2467.00","2467.00"
"Saint Barthélemy","0.17","0.17","0.17","0.17","0.17","0.17","2.00","2.00","2.00","2.00","2.00","2.00"
"Saint Kitts and Nevis","11.00","11.00","11.00","11.00","11.00","11.00","26.00","26.00","26.00","26.00","26.00","26.00"
"Saint Lucia","27.06","29.06","31.06","32.06","32.59","32.84","61.00","61.00","61.00","61.00","61.00","61.00"
"Saint Martin (French Part)","1.24","1.24","1.24","1.24","1.24","1.24","5.00","5.00","5.00","5.00","5.00","5.00"
"Saint Pierre and Miquelon","1.90","1.67","1.45","1.33","1.21","1.10","23.00","23.00","23.00","23.00","23.00","23.00"
"Saint Vincent and the Grenadines","28.52","28.54","28.55","28.55","28.56","28.56","39.00","39.00","39.00","39.00","39.00","39.00"
"Samoa","176.58","171.77","166.96","164.56","162.16","159.76","283.00","283.00","283.00","283.00","278.00","278.00"
"San Marino","1.00","1.00","1.00","1.00","1.00","1.00","6.00","6.00","6.00","6.00","6.00","6.00"
"Sao Tome and Principe","59.07","58.54","58.00","55.03","55.15","55.28","96.00","96.00","96.00","96.00","96.00","96.00"
"Saudi Arabia","2768.05","2768.05","2768.05","2768.05","2768.05","2775.55","214969.00","214969.00","214969.00","214969.00","214969.00","214969.00"
"Senegal","9193.36","9037.91","8882.46","8804.74","8727.02","8649.32","19253.00","19253.00","19253.00","19253.00","19253.00","19253.00"
"Serbia","2313.00","2483.20","2879.99","3078.40","3276.80","3475.20","8746.00","8746.00","8746.00","8746.00","8746.00","8409.00"
"Seychelles","34.13","31.96","29.79","28.70","27.61","26.52","46.00","46.00","46.00","46.00","46.00","46.00"
"Sierra Leone","3126.70","2929.43","2732.16","2633.53","2534.90","2436.27","7218.00","7218.00","7218.00","7218.00","7218.00","7218.00"
"Singapore","14.83","17.01","17.74","16.47","15.25","14.73","67.00","67.00","70.20","70.90","71.80","71.80"
"Sint Maarten (Dutch part)","0.30","0.30","0.30","0.30","0.30","0.30","3.40","3.40","3.40","3.40","3.40","3.40"
"Slovakia","1902.48","1901.41","1917.91","1921.75","1931.22","1940.49","4810.00","4810.00","4809.10","4808.20","4808.00","4808.00"
"Slovenia","1188.00","1233.00","1247.00","1248.00","1243.83","1243.55","2014.00","2014.00","2014.62","2014.26","2013.64","2013.45"
"Solomon Islands","2539.71","2532.34","2524.96","2521.27","2517.60","2513.93","2799.00","2799.00","2799.00","2799.00","2799.00","2799.00"
"Somalia","8283.50","7516.00","6748.50","5979.00","5209.50","4829.75","62734.00","62734.00","62734.00","62734.00","62734.00","62734.00"
"South Africa","19816.56","20692.24","21567.92","22005.76","22443.59","22881.42","121309.00","121309.00","121309.00","121309.00","121309.00","121309.00"
"South Sudan","7104.20","7114.20","7136.20","7157.00","7152.50","7160.00","63193.00","63193.00","63193.00","63193.00","63193.00","63193.00"
"Spain","13904.66","17093.93","18566.19","18575.35","18982.06","19132.78","49944.00","49900.00","50001.00","49966.10","49955.66","49969.74"
"Sri Lanka","2369.94","2231.14","2155.96","2098.25","2145.41","2120.69","6271.00","6271.00","6271.00","6189.30","6186.00","6186.00"
"Sudan","28075.30","26333.90","24592.50","23721.80","22851.10","21980.40","186800.00","186800.00","186800.00","186800.00","186800.00","186800.00"
"Suriname","14866.25","14901.98","14862.02","14838.61","14765.46","14674.20","15600.00","15600.00","15600.00","15600.00","15600.00","16050.76"
