"","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)"
"Uzbekistan","1356.26","1416.42","1356.26","1393.40","1422.98","1510.00","210.30","210.30","210.30","210.30","210.30","210.30"
"Vanuatu","971.07","947.70","924.34","912.65","900.97","889.29","","","","","",""
"Venezuela (Bolivarian Republic of)","50114.02","48503.97","47452.43","46865.50","46278.56","45978.03","","","","","",""
"Viet Nam","8630.96","10180.56","10769.41","10869.49","10985.95","10859.49","1017.17","900.05","822.68","677.04","604.74","584.80"
"Wallis and Futuna Islands","9.38","8.72","9.03","9.51","9.99","10.47","0.40","0.38","0.37","0.36","0.36","0.36"
"Western Sahara","605.45","539.54","537.23","539.50","533.21","529.22","0.00","0.00","0.00","0.00","0.00","0.00"
"Yemen","384.30","384.30","384.30","384.30","384.30","384.30","15.37","15.37","15.37","15.37","15.37","15.37"
"Zambia","47355.11","46997.54","46639.96","45700.83","45305.64","44820.45","","","","","",""
"Zimbabwe","16325.91","15293.35","14260.80","13969.41","13704.08","13445.27","1306.07","1223.47","1140.86","1117.55","1096.33","1075.62"
"© FRA 2026","","","","","","","","","","","",""
